topographic_point.1,0,163845
coconut.1,3.384E-03,0.89,961
berry.2,1.017E-02,0.90,339
ancestor.1,9.103E-04,0.91,265
thing.11,3.087E-03,0.91,1884
landscape.4,1.141E-03,0.91,229
capsicum.1,5.291E-03,0.92,267
plant.4,1.861E-03,0.92,171
poppy.1,9.672E-03,0.93,311
crush.2,4.226E-03,0.93,227
maple.2,2.653E-03,0.93,268
bundle.2,1.008E-05,0.93,934
alga.1,5.912E-03,0.94,391
corn.2,2.088E-03,0.94,308
carbohydrate.1,5.291E-03,0.95,312
orange.3,4.518E-04,0.95,217
melon.1,5.543E-03,0.95,918
banana.1,9.964E-03,0.96,226
lineage.1,4.620E-05,0.96,198
tulip.1,2.025E-03,0.97,811
farming.1,9.758E-04,0.97,295
turf.3,5.952E-03,0.97,213
beech.1,9.445E-03,0.98,226
root.3,9.839E-03,0.99,144
coffee.2,2.917E-03,0.99,969
shrubbery.2,4.855E-03,1.00,580
semen.1,1.825E-02,1.02,1253
gelatin.2,2.670E-03,1.02,306
fig.4,3.832E-03,1.02,294
coconut.2,3.818E-02,1.06,230
wood.8,2.314E-03,1.06,131
jelly.2,2.093E-02,1.09,160
apple.2,1.084E-02,1.10,228
honeysuckle.1,2.308E-03,1.10,681
wallflower.3,1.249E-02,1.11,164
lemon.3,8.063E-03,1.12,182
dogwood.1,1.836E-02,1.14,199
lilac.1,2.728E-02,1.16,351
avocado.1,1.061E-02,1.18,433
branch.5,9.016E-03,1.18,106
shrubbery.1,1.087E-02,1.20,288
agribusiness.1,1.132E-03,1.20,143
coconut.3,1.372E-03,1.20,165
oleander.1,1.293E-02,1.21,142
peony.1,4.967E-03,1.22,166
verbena.1,1.603E-03,1.22,208
landscape.3,1.531E-02,1.23,128
pea.3,9.805E-03,1.24,92
space.7,1.264E-02,1.25,76
dessert.1,2.932E-02,1.28,89
eggplant.1,7.935E-04,1.28,158
daffodil.1,1.914E-02,1.30,473
outgrowth.1,2.312E-03,1.31,79
radish.1,5.889E-03,1.31,117
pepper.1,1.004E-03,1.31,84
growth.6,6.076E-03,1.32,77
jelly.3,1.469E-02,1.33,78
timbre.1,1.146E-02,1.35,70
arm.2,3.767E-03,1.35,64
blight.2,7.810E-05,1.35,76
chrysanthemum.1,1.795E-02,1.37,129
care.1,3.574E-03,1.37,64
hyacinth.2,1.330E-03,1.37,115
root.4,3.485E-02,1.41,64
pieplant.1,9.184E-04,1.41,103
rocket.2,1.187E-02,1.42,59
attic.3,1.779E-02,1.44,76
tobacco.2,6.779E-03,1.44,59
plowing.1,3.134E-04,1.44,61
citron.1,1.800E-02,1.46,62
wallflower.1,2.070E-02,1.48,53
eatage.1,3.531E-02,1.52,57
boodle.1,1.772E-02,1.54,51
myrtle.2,1.994E-03,1.54,47
rocket.4,1.160E-02,1.55,42
skyrocket.2,9.997E-03,1.56,41
chocolate.3,2.511E-03,1.56,45
seeded_player.1,2.789E-02,1.59,43
sweet.4,7.324E-02,1.66,33
grape.2,1.409E-02,1.68,33
weed.2,2.553E-02,1.70,31
leaf.3,1.831E-02,1.72,30
solution.4,1.937E-02,1.74,29
planting.2,1.004E-02,1.75,29
coffee_bean.1,8.583E-03,1.76,28
palm.2,2.104E-02,1.78,26
organism.2,4.103E-02,1.82,24
elm.2,1.005E-02,1.83,35
pea.2,1.396E-02,1.85,23
orange.4,3.320E-02,1.88,22
pear.2,1.734E-03,1.88,22
wood.5,1.135E-02,1.89,21
eggplant.2,8.884E-02,1.98,19
green.4,1.331E-02,1.99,17
pod.2,1.109E-02,2.01,17
hyacinth.1,3.751E-02,2.04,16
tomato.2,8.484E-02,2.13,13
larkspur.1,5.837E-02,2.19,12
thing.12,1.829E-02,2.20,11
blush_wine.1,4.520E-03,2.21,11
foliation.3,1.684E-03,2.21,11
vegetable.2,4.595E-02,2.26,10
wood.3,4.981E-03,2.26,10
emergence.1,4.545E-02,2.31,9
tree.3,6.166E-02,2.37,8
ash.3,1.428E-03,2.37,8
blackberry.2,5.396E-03,2.38,8
wood.4,6.336E-02,2.44,7
chrysanthemum.2,5.388E-03,2.44,7
green.3,4.791E-03,2.45,7
lemon.5,2.379E-04,2.45,7
bunk.4,6.487E-02,2.51,6
figure.1,2.047E-03,2.52,6
cabbage.3,1.677E-03,2.52,6
melon.2,9.766E-04,2.52,6
plaza.1,8.801E-02,2.61,5
corn.7,1.157E-01,2.72,4
grapeshot.1,1.464E-03,2.72,4
woodwind.1,1.480E-01,2.87,3
wood.6,1.192E-04,2.87,3
supergrass.1,6.234E-04,2.87,3
ambrosia.4,4.071E-04,2.87,3
decoration.2,2.065E-01,3.08,2
nectar.2,2.007E-04,3.08,2
grass.2,3.478E-01,3.43,1
corn_whiskey.1,2.166E-05,3.43,1
etymon.1,5.242E-06,3.43,1
strawberry.3,8.270E-07,3.43,1
plant.3,1.272E-05,3.43,1
rocket.3,2.257E-05,3.43,1
department_of_agriculture.1,1.451E-05,3.43,1
willow.2,6.694E-06,3.43,1
radish_plant.1,5.531E-05,3.43,1
dogwood.2,1.283E-05,3.43,1
avocado.2,4.098E-06,3.43,1
